CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,15,715",386,"3,10,587",21.58,0.90,-0.35,"7,69,950",0.85,0.90,"5,24,850","26,500.00",75,"1,020.55","1,024.35",75,-12.35,"1,017.00",-,399,30,677,
,"14,912","-1,488","58,972",22.18,0.85,-0.25,"86,925",0.80,0.85,"1,11,525","26,550.00",150,"1,051.85","1,097.30",750,-,-,-,-,-,19,
,"64,188","-7,465","1,75,482",23.07,0.85,-0.25,"1,81,950",0.80,0.85,"1,22,775","26,600.00",75,"1,120.05","1,125.70",75,-0.65,"1,139.25",34.94,11,1,39,
,"12,569",347,"46,623",23.96,0.80,-0.20,"1,26,000",0.75,0.80,"1,89,450","26,650.00",750,"1,146.35","1,198.30",750,-,-,-,-,-,27,
,"43,017","-2,328","1,16,026",24.66,0.80,-0.15,"1,99,650",0.75,0.80,"3,00,600","26,700.00",750,"1,203.65","1,241.95",900,-,-,-,-,-,48,
,"10,592",-360,"48,644",25.53,0.75,-0.10,"81,300",0.70,0.75,"54,525","26,750.00",750,"1,248.00","1,299.25",900,-,-,-,-,-,18,
,"43,153",-274,"68,258",26.20,0.70,-0.15,"4,15,050",0.65,0.70,"4,01,250","26,800.00","1,125","1,302.70","1,350.20",750,-,-,-,-,-,28,
,"6,329",-165,"17,637",27.06,0.70,-0.10,"87,225",0.65,0.70,"95,100","26,850.00",750,"1,345.95","1,397.90","1,125",-,-,-,-,-,20,
,"15,565","-1,058","30,329",27.69,0.70,-0.10,"1,24,125",0.65,0.70,"2,44,425","26,900.00",75,"1,420.45","1,425.50",75,-57.75,"1,440.25",42.72,7,1,24,
,"5,178",387,"13,667",28.53,0.65,-0.10,"53,550",0.60,0.65,"53,775","26,950.00",750,"1,444.60","1,503.00",750,-,-,-,-,-,5,
,"69,664","3,853","1,23,384",29.37,0.65,-0.05,"34,15,125",0.60,0.65,"10,53,900","27,000.00",150,"1,519.30","1,526.95",75,-15.85,"1,519.00",-,14,2,998,
,"5,434",-114,"8,843",29.70,0.60,-0.10,"85,350",0.55,0.60,"95,250","27,050.00",75,"1,567.60","1,577.40",225,15.40,"1,593.70",48.20,8,-,13,
,"6,844","-1,304","8,337",30.78,0.60,-0.10,"1,58,025",0.55,0.60,"1,60,050","27,100.00",750,"1,571.40","1,668.60",750,-,-,-,-,-,24,
,"4,490",-36,"4,452",31.04,0.55,-0.10,"1,78,950",0.50,0.55,"97,425","27,150.00",750,"1,625.85","1,721.40",750,-,-,-,-,-,6,
,"16,938",117,"16,290",31.84,0.55,-0.05,"3,28,050",0.50,0.55,"2,01,225","27,200.00",750,"1,672.25","1,756.30",750,-,-,-,-,-,7,
,"3,615","-3,712","10,875",32.64,0.50,-0.10,"2,08,125",0.50,0.55,"51,900","27,250.00",750,"1,726.15","1,811.40",750,-,-,-,-,-,6,
,"12,456","-1,592","14,696",33.44,0.50,-0.10,"97,725",0.50,0.55,"1,82,925","27,300.00",750,"1,776.40","1,863.00",750,-,-,-,-,-,11,
,"5,800",28,"12,106",34.24,0.55,-0.05,"36,900",0.50,0.55,"1,14,000","27,350.00",750,"1,830.15","1,913.75",750,-,-,-,-,-,6,
,"53,842","-8,500","1,26,397",35.03,0.45,-0.10,"4,17,675",0.45,0.50,"16,84,725","27,400.00",750,"1,886.75","1,957.10","1,125",-,-,-,-,-,74,
